Repository,Ontology,CreationDate,Format,HTTPResponse,URL
data.bioontology.org,SNOMEDCT,20240131,UMLS,403,https://data.bioontology.org/ontologies/SNOMEDCT/submissions/28
data.bioontology.org,WHO-ART,20230807,UMLS,403,https://data.bioontology.org/ontologies/WHO-ART/submissions/22
data.bioontology.org,MEDDRA,20240131,UMLS,403,https://data.bioontology.org/ontologies/MEDDRA/submissions/23
data.bioontology.org,NDDF,20240131,UMLS,403,https://data.bioontology.org/ontologies/NDDF/submissions/23
data.bioontology.org,ICPC2P,20240131,UMLS,403,https://data.bioontology.org/ontologies/ICPC2P/submissions/23
data.bioontology.org,RCD,20240131,UMLS,403,https://data.bioontology.org/ontologies/RCD/submissions/23
data.bioontology.org,NDFRT,20180706,UMLS,403,https://data.bioontology.org/ontologies/NDFRT/submissions/13
data.bioontology.org,CPT,20210106,UMLS,403,https://data.bioontology.org/ontologies/CPT/submissions/3
data.bioontology.org,ICNP,20200403,OWL,403,https://data.bioontology.org/ontologies/ICNP/submissions/6
data.bioontology.org,ICD10,20240131,UMLS,403,https://data.bioontology.org/ontologies/ICD10/submissions/23
data.ecoportal.lifewatch.eu,AGROVOC,20211210,SKOS,422,https://data.ecoportal.lifewatch.eu/ontologies/AGROVOC/submissions/1
rest.matportal.org,PACTOLS_ANTR_FF,20210518,SKOS,403,http://rest.matportal.org/ontologies/PACTOLS_ANTR_FF/submissions/1
rest.matportal.org,CHAMP,20210601,OWL,403,http://rest.matportal.org/ontologies/CHAMP/submissions/2
rest.matportal.org,PACTOLS_SUJ_FW,20210608,SKOS,403,http://rest.matportal.org/ontologies/PACTOLS_SUJ_FW/submissions/1
rest.matportal.org,CIDOC-CRM,20210519,OWL,403,http://rest.matportal.org/ontologies/CIDOC-CRM/submissions/1
data.industryportal.enit.fr,CHAMP,20211211,OWL,403,https://data.industryportal.enit.fr/ontologies/CHAMP/submissions/2
data.industryportal.enit.fr,OFM,20211201,OWL,403,https://data.industryportal.enit.fr/ontologies/OFM/submissions/1
data.earthportal.eu,GEMET,20240510,SKOS,500,https://data.earthportal.eu/ontologies/GEMET/submissions/62
data.earthportal.eu,AER_GEN,20230918,SKOS,403,https://data.earthportal.eu/ontologies/AER_GEN/submissions/1
data.earthportal.eu,AER_CFSN,20230914,SKOS,403,https://data.earthportal.eu/ontologies/AER_CFSN/submissions/1
